ID,RM_Lat,RM_Lon,DN_Lat,DN_Lon,S1_Lat,S1_Lon,S2_Lat,S2_Lon,OB_Lat,OB_Lon,Country,Region from UN,Subregion from UN,World Bank Income Classification,Economic Development,Geomorphic_Area,Habitable Area,Population year 2000,Population year 2010,Population_2017,2017_pop_density_ppl_per_km2,Habitable Area (km^2),2000 Population,2010 Population,2017_Population,Storm_surge_height,Habitable Area (km^2).1,2000 Population.1,GRUMP (year 2000),GPWv4_2020,BasinID2,Wave_Height_Hw,Tidal_Range_Ht (m),Bathymetric_Slope_from_RM_Sbr,Sea_Level_Change,Discharge_prist,Discharge_dist,Discharge_tide,QRiver_prist,QRiver_dist,QTide,QWave,delta_name,delta_area,Discharge50,Discharge90,Discharge99,Discharge999,SLR,depth_20km_offshore,Total_river_length,Coastline_length,VLM_value,Total_river_width,total_delta_area,total_delta_pixels,total_delta_area_inun,total_delta_pixels_inun,inundated_area,non_inundated_area,inundation_depth,total_inundation_volume,acc_raise_0p5,acc_raise_1,acc_raise_10,urban_area,urban_inundated_area,urban_non_inundated_area,urban_inundation_depth,urban_inundated_volume,whole_urban_inundated_volume
3228,63.051108,-164.654006,61.956062,-163.226594,63.036839,-163.354908,61.134842,-165.249703,62.088575,-165.736808,United States of America,Americas,Northern America,High income,Developed Economy,18295.21645,16259.749,3332,3964,3977,0.2445917216,4992.091309,2746,3094,3040,3.167631952,13650.729,2714.2571,3549.9492,3823.3701,1258,0.5744337559,0.785,0.000202924808,1.687675329,4021.9,3217.68,2450.718994,3307.6,2645.2,2015.464866,92.5947113,Yukon,1.829521645e+10,2362.142822,10112.79004,17722.42578,20079.68359,0.6736,5.0731202,1018068.809,187142.9903,0,2101.6,21221600000,2122160,21206320000,2120632,2896560000,18309760000,193482.8,2418535000,1,1,1,1580000,80000,1480000,2.077742577,20777.42577,1256530.552
1537,31.182,122.087,32.225,119.561,32.711,120.939,30.602,121.021,30.72097,122.075199,China,Asia-Pacific,Eastern Asia,Upper middle income,Developing Economies,16993.02903,13321.068,21098204,23900498,31375546,2355.3325,2124.941406,1210374,1257177,1635680,2.959216883,13233.206,20186864,22097876,40114684,1780166,0.5391509056,3.325,0.00027581612,1.725783749,19898,15693.6,4176.70459,6097.6,7185.44,1279.921294,64.96313477,Yangtze,1.699302903e+10,16576.75586,33217.05859,48768.73438,56054.6875,0.7424,6.895403,534948.8928,187181.6161,-0.001549748062,14861.6,22855010000,2285501,22844130000,2284413,6292400000,16551730000,670642.15,8383026875,0,0,1,12358020000,2473904000,9265640000,376578.875,3765788750,1.610990118e+10
3441,25.955093,-97.145816,26.129983,-98.298576,24.875317,-97.573479,26.894001,-97.367058,25.78538,-97.156866,Mexico,Americas,Central America,Upper middle income,Developing Economies,13427.46799,10891.095,1228209,1410303,1549297,142.25356,181.1579285,1493,2615,2649,0.4878317117,4604.6807,277755.88,1241872.1,1759444.9,224773,1.407941151,0.888,0.00101984456,3.91194251,64.90482377,51.09222728,4.617519855,1238.865277,453.7900036,4.617519855,641.1035156,Rïo Grande - Bravo,1.342746799e+10,51.51195145,84.870224,178.1324158,311.1463318,0.9448,25.496114,212861.9333,179677.6478,-0.001682942844,40.10670027,9813360000,981336,9801900000,980190,57470000,9744430000,4782.857031,59785712.89,0,0,1,451810000,752000,450870000,84.37529755,843752.9755,469881293.1
3842,23.990578,67.426836,24.995201,68.263299,24.745051,67.069275,23.566186,68.318082,23.933414,67.476696,Pakistan,Asia-Pacific,Southern Asia,Lower middle income,Developing Economies,12763.66302,10952.416,1041716,1306614,1267838,115.75875,3054.096191,59166,63560,47060,1.70623369,9552.8779,520024.28,612239.31,1401875.8,2180336,2.006415176,2.927,0.000482165392,2.973360893,5137.4,3849.6,13497.24316,24097,16364.8,13497.24316,3409.283203,Indus,1.276366302e+10,2133.156982,4880.666016,9066.431641,12562.16406,0.6208,12.0541348,625238.4061,145668.9472,0.001480040595,6395.2,8591080000,859108,8560820000,856082,3464420000,5096400000,547631,6845387500,0,0,1,29590000,1864000,27260000,237.5222778,2375222.778,56238602.71
3148,69.354588,-135.582202,67.617182,-134.124705,69.344489,-133.724772,68.888937,-136.893549,69.509738,-135.366723,Canada,Americas,Northern America,High income,Developed Economy,12363.01544,9443.0166,0,762,805,0.08524818224,1429.627319,,0,0,0.7678747712,2444.2007,0.47500572,691.25427,631.98273,2528,0.2781986952,0.326,0.000154697184,3.542729665,7030.7,5626.88,249.8351593,4320.2,3447.84,153.5178368,303.8390808,MacKenzie,1.236301544e+10,3875.287354,19649.39648,32655.69922,41370.95312,0.7728,3.8674296,1935853.897,108755.9306,-0.002042300677,4941.809149,21462240000,2146224,21391320000,2139132,794260000,20597060000,60016.525,750206562.5,1,1,1,280000,0,280000,0,0,264469.7046
284,-18.579637,36.490765,-17.961338,35.520708,-19.069862,35.75163,-17.82886,37.13336,-18.828062,36.350714,Mozambique,Africa,Eastern Africa,Low income,Least Developed,12250.54284,11573.543,667081,619282,702369,60.687466,26.46017838,975,67,734,1.972459874,9101.7012,432869.84,498250,618134.94,1416812,1.513018227,2.503,0.0008861772,4.544280925,7467.106376,5897.225478,9967.696289,6944.335119,3982.240734,9269.859019,2318.181396,Zambezi,1.225054284e+10,5006.090332,15543.11719,36289.95703,47374.73828,0.7512,22.15443,257664.3558,160340.2147,0.0004753393513,67.2,10122650000,1012265,10122410000,1012241,1262430000,8859980000,92373.53752,1154669219,0,0,1,24410000,2128000,21750000,273.7654114,2737654.114,22631080.8
4687,-0.204336,109.059797,-0.228602,109.944778,0.078147,109.174334,-1.090166,109.842182,-1.260194,109.381397,Indonesia,Asia-Pacific,South-Eastern Asia,Lower middle income,Developing Economies,9507.15548,8123.0977,679947,1169428,1197764,147.45163,48.60045624,3660,4016,3273,1.566489005,3303.6794,730620.31,902626.63,1102115.8,5355736,0.2246015787,1.954,0.000175415376,2.771200869,5400.350863,4321.653814,1366.269897,1292.169677,1032.309666,326.914413,57.92248535,Kalimantan,9507155480,5513.013184,8555.089844,10543.56543,12195.21289,0.732,4.3853844,583940.34,119238.6035,0.0007473521396,867.6,4906290000,490629,4906270000,490627,898770000,4007500000,83239.23128,1040490391,0,0,1,97120000,15688000,77510000,1828.12854,18281285.4,108013240.4
516,-16.553799,141.268365,-17.515654,142.380746,-16.541454,141.275438,-17.467624,140.816524,-17.002486,140.956037,Australia,Asia-Pacific,Australia and New Zealand,High income,Developed Economy,9145.464509,8863.9424,11241,804,217,0.02448120602,152.7936554,134,2,0,1.876380608,2800.6021,198.35527,585.12408,296.49637,673257,0.4097975731,2.915,0.000130160456,5.331026272,10.68852859,8.618207241,6.421877384,17.75666697,14.37833039,6.421877384,38.15639114,,9145464509,3.127704859,33.65777206,191.6999969,326.0173035,0.7544,3.2540114,264504.6221,90840.8657,-0.0005764391791,195.2,7440490000,744049,7440490000,744049,563400000,6877090000,66685.53125,833569140.6,1,1,1,60000,0,60000,0,0,88772.00603
3992,11.360853,79.831521,10.832149,78.817052,10.311529,79.473738,11.461462,79.79603,10.29818,79.881403,India,Asia-Pacific,Southern Asia,Lower middle income,Developing Economies,8599.771116,8472.6201,4343234,5758468,5826349,687.66791,394.0844421,52005,46745,46207,0.5836056409,3512.2793,1963939.3,5021026.5,5973238.5,3705266,0.8773008347,0.7635,0.00268676056,2.957718459,935.8028855,711.1422122,59.31336212,596.326686,392.8580505,37.7965715,426.8494263,Cauvery,8599771116,446.5137939,1101.498169,2444.79248,4114.091309,0.7176,67.169014,482541.2124,105590.9349,0.0003621125371,1574.4,5043410000,504341,5043410000,504341,53060000,4990350000,6084.603906,76057548.83,0,0,1,244790000,464000,244210000,20.10906982,201090.6982,350257885
4204,20.241078,106.593962,21.080504,105.839494,19.95661,106.018694,20.880435,106.86843,20.22555,106.601224,Vietnam,Asia-Pacific,South-Eastern Asia,Lower middle income,Developing Economies,8254.051557,7394.8564,9892108,10212460,10623076,1436.5493,4223.782227,4381502,4256865,4273955,2.407213298,7318.2822,9163214,9585930,10272095,2765116,0.9422551155,3.3815,0.00094599992,2.178473721,2485,1942,1827.264526,2590.1,2660.56,1827.264526,466.3325195,Song Hong,8254051557,1651.826782,6677.30127,9937.085938,11630.95898,0.7256,23.649998,659164.0309,108296.5133,0.0002936964337,2120.883545,6331720000,633172,6331620000,633162,4324340000,2007280000,827861.6496,1.034827062e+10,0,0,1,2147450000,1153344000,705770000,317582.3438,3175823438,4864751833
518,-15.19896,141.586658,-15.984986,142.523562,-15.004271,141.663161,-16.069573,141.432958,-15.663016,141.430438,Australia,Asia-Pacific,Australia and New Zealand,High income,Developed Economy,7371.487692,7281.4922,10032,973,1143,0.1569733193,7.388009071,2,0,0,1.876380608,2732.3127,191.68283,509.03433,1051.5977,496357,0.3784157515,2.102,0.00014465192,4.883680508,340.9906309,273.2240595,27.25254059,140.7588659,112.8399252,11.2496836,17.46703529,Mitchell,7371487692,70.81295013,1250.166992,5288.936035,8394.521484,0.7568,3.616298,333417.8061,96351.13035,-0.0005962947925,448.8,5926550000,592655,5926520000,592652,583690000,5342830000,45819.48438,572743554.7,1,1,1,320000,0,320000,0,0,313998.8327
2363,71.425821,151.144466,70.816851,148.917056,70.887078,152.140454,71.661969,148.998189,71.41968,151.255029,Russia,Europe & Central Asia,Eastern Europe,Upper middle income,Developing Economies,7115.622806,4866.7866,8,101,211,0.04335509595,302.5175171,0,10,24,0.9395524939,4079.8245,184.39714,218.7424,156.5105,3338,0.1782812953,0.07,0.000118638016,,593.88,475.104,3.523423672,1913.7,8.427422579,3.523423672,77.920578,Indigirka,7115622806,155.1817169,1730.802612,5390.039551,8602.855469,0.888,2.9659504,1194405.498,113571.695,0,4662.739352,13904550000,1390455,13896890000,1389689,35430000,13861460000,739.7090332,9246362.915,1,1,1,130000,0,130000,0,0,33926.81628
4022,19.957451,86.376213,20.477091,85.764755,19.617876,85.407865,20.455893,86.733006,19.970051,86.400989,India,Asia-Pacific,Southern Asia,Lower middle income,Developing Economies,6608.012406,6098.373,3048978,4697889,4896821,802.97168,9.514343262,979,1406,1360,1.108500937,3635.3484,1689659.1,3956598.5,5330660.5,2763826,1.532057858,1.591,0.00151556944,2.764164064,2761.4,1994.96,714.4887695,1384.4,1704.4,358.2017283,3694.463867,Mahanadi,6608012406,1415.416138,6084.714355,10120.97656,12158.17773,0.6952,37.889236,563479.0662,133451.7785,-0.0009414524001,868.2667175,5729440000,572944,5716460000,571646,552900000,5163560000,46575.13438,582189179.7,0,0,1,242040000,3824000,237260000,599.1358643,5991358.643,255819881.6
1560,37.812195,119.244873,37.596611,118.336448,37.311456,118.956252,38.339972,117.748448,37.797246,119.312476,China,Asia-Pacific,Eastern Asia,Upper middle income,Developing Economies,6084.680121,4749.4727,443795,604261,680704,143.32202,1986.502075,81840,144943,97583,2.00574092,4746.8652,728331.88,729634.81,818156.63,1005716,0.657018137,0.8365,0.000549609728,4.70362732,1696.9,1281.44,515.6071777,7281.5,3062.08,515.6071777,307.3218994,Yellow,6084680121,1307.23584,3180.64209,4665.14502,5958.473633,0.7256,13.7402432,131327.9475,124805.7063,2.009902516e-05,144.4,3726920000,372692,3708280000,370828,429280000,3279000000,53000.925,662511562.5,0,0,1,377850000,18360000,354900000,2222.62085,22226208.5,569946393.9
1449,22.555914,113.627864,23.353095,112.887728,22.18646,113.083714,22.744139,113.669397,22.129833,113.432536,China,Asia-Pacific,Eastern Asia,Upper middle income,Developing Economies,5613.341297,5150.5986,5754290,9504483,12065796,2342.6006,3129.636719,1927353,3505429,4505003,1.748621132,4151.2959,7517927,9097639,15043655,2372006,0.7539532185,2.128,0.000160908896,2.92323897,5709.7,4414,8737.368164,5385.6,7432.24,8241.408478,426.1865845,Zhujiang,5613341297,4213.090332,12838.85547,20155.69141,25593.65039,0.7304,4.0227224,654000.1491,69038.29621,-0.0003696457391,2275.067261,4010730000,401073,4010730000,401073,2394460000,1616270000,507305.5,6341318750,0,0,1,1917180000,877712000,820040000,235253.1875,2352531875,4524268191
930,18.610001,-92.696088,18.094371,-92.078421,18.492285,-91.787632,18.442331,-93.124348,18.699164,-91.974152,Mexico,Americas,Central America,Upper middle income,Developing Economies,5170.91706,4518.1855,92651,116523,126920,28.090923,332.734314,7817,10889,12395,0.6188002169,4311.7251,82981.75,84740.406,141752.09,995653,0.9407580376,0.978,0.000591704808,4.264041893,3351.1,2673.84,307.6654663,2230.7,1697.76,204.8012162,676.8869019,Grijalva,5170917060,2401.83252,7395.799316,11834.73242,14973.25293,0.8744,14.7926202,236209.7021,113036.1727,-0.001510844348,870.4,3284290000,328429,3284170000,328417,3030000,3281140000,94.20918576,1177614.822,1,1,1,16520000,8000,16510000,0.004239797592,42.39797592,6416682.93
4679,2.748729,111.427569,2.286697,111.819927,2.87591,111.909671,1.952334,111.168955,2.793469,111.319732,Malaysia,Asia-Pacific,South-Eastern Asia,Upper middle income,Developing Economies,5143.760335,4392.8633,72601,88534,92160,20.979483,8.066596985,1130,202,191,1.542385438,866.05164,33418.367,128854.36,239702.88,4899926,0.8622823715,2.688,0.000400818744,3.350431451,3511.294744,2809.070806,11461.41504,713.081936,570.4689536,2327.61093,212.0697021,Rajang 1,5143760335,3756.369141,6234.81543,8409.384766,9882.24707,0.7176,10.0204686,482045.8468,104969.3882,0.0003315743315,3027.010376,3183950000,318395,3183920000,318392,1114090000,2069830000,185620.45,2320255625,0,0,1,24290000,10200000,11540000,2726.244141,27262441.41,51296180.52
4011,16.315948,81.717298,16.999139,81.757839,16.346565,81.423647,17.035379,82.300914,16.572672,82.303359,India,Asia-Pacific,Southern Asia,Lower middle income,Developing Economies,4791.047059,4447.3174,2185295,3882521,3793324,852.94653,2.54554081,280,269,248,0.8934864847,2898.8032,2617250.3,4212367.5,4641085.5,2996486,1.178233051,1.0905,0.00361621416,3.158477601,4324.1,3142.64,725.9377441,3336.8,4199.2,560.188031,1781.167725,Godavari,4791047059,1656.209229,10982.19922,18413.61719,20944.95703,0.6784,90.405354,130589.8477,96550.47479,0.0007037807816,316.8,2792650000,279265,2792310000,279231,740000,2791570000,34.20559692,427569.9615,1,1,1,178260000,0,178260000,0,0,102998134.9
4971,-7.165519,138.680136,-7.269152,139.502337,-6.607006,138.685097,-7.572927,139.111232,-7.2132,138.667095,Indonesia,Asia-Pacific,South-Eastern Asia,Lower middle income,Developing Economies,4761.980124,4096.8418,17115,3846,11861,2.8951569,11.46427917,578,28,64,2.098189291,2378.7278,2608.0386,4034.7375,36842.984,6870856,0.181393981,6.032,5.67132784e-05,4.147663392,2479.858021,1983.769931,4867.029297,948.3035146,758.5795075,1861.163401,4.349659872,Bulaka,4761980124,710.5820923,1236.890503,1529.064941,1657.550903,0.644,1.41783196,172679.9516,93388.45162,-0.0006381922111,167.1014255,3271160000,327116,3266400000,326640,110090000,3156310000,10342.90859,129286357.4,1,1,1,40000,0,40000,0,0,46974.78294
142,-0.963261,8.845602,-1.005488,9.479501,-0.626147,9.127385,-1.668572,9.244655,-0.661678,8.698631,Gabon,Africa,Middle Africa,Upper middle income,Developing Economies,4612.179805,3862.5369,68322,127590,136425,35.320053,5.024880409,25,0,117,0.9251781411,1572.6713,97544.078,99819.07,59984.43,1003672,1.524703979,1.1705,0.00150817056,2.836094295,5430.288278,4344.209503,1353.525635,545.6135008,436.4855708,135.9968057,2694.335205,Gulf of Guinea,4612179805,5201.112305,10455.37793,15252.05078,17679.88672,0.7904,37.704264,413314.8583,92801.96592,-0.0005148645467,1113.911084,2942250000,294225,2942050000,294205,13460000,2928590000,721.2304199,9015380.249,1,1,1,260000,0,260000,0,0,174145.5162
